y1,y0,d,outcome
1.9855241,-1.881461,1,1.9855241
2.1240163,-1.6136168,1,2.1240163
1.8303459,.10056358,1,1.8303459
3.4580314,-.047414448,1,3.4580314
2.8871431,.71335536,0,.71335536
.52126247,-.63649029,1,.52126247
.90478504,.26447359,1,.90478504
.8105768,-1.6146908,1,.8105768
2.4255292,-.26866654,1,2.4255292
-.17181271,-.44953278,0,-.44953278
1.6331409,-.19436304,0,-.19436304
1.0099322,.93710142,0,.93710142
2.1518526,.35388541,1,2.1518526
-.16374588,-.64617223,1,-.16374588
2.9291778,1.2352662,0,1.2352662
1.5468563,-.90186089,1,1.5468563
2.6146283,-.20667863,1,2.6146283
2.161732,-.70862973,1,2.161732
1.3949803,-.52719027,1,1.3949803
1.9574255,.59275603,0,.59275603
2.1400614,1.1031244,0,1.1031244
2.9071147,-.64321744,1,2.9071147
1.7629927,-.80977654,1,1.7629927
-.12167854,.75913864,0,.75913864
1.2543749,-.88486183,1,1.2543749
.87740439,-1.2171752,1,.87740439
.41988036,.70266354,0,.70266354
.84481496,-.17481291,0,-.17481291
2.4180794,.23153012,0,.23153012
1.7190984,1.4761273,0,1.4761273
1.5889367,.10504045,0,.10504045
.55647832,.80988753,0,.80988753
1.6292884,-1.3101472,1,1.6292884
.23246248,.060098395,0,.060098395
2.2688515,.5382337,0,.5382337
2.7904522,.17066449,1,2.7904522
2.851275,.88997066,0,.88997066
1.3835026,.4445889,0,.4445889
.49487484,-.46943772,0,-.46943772
1.1685952,-1.8757492,1,1.1685952
.60872668,1.4461333,0,1.4461333
.1681291,-.22003831,0,-.22003831
1.8917909,-1.080943,1,1.8917909
2.1836662,1.0866793,0,1.0866793
3.5343029,.29742122,1,3.5343029
-.22101332,.13775842,0,.13775842
1.7497743,-.56379646,1,1.7497743
1.493052,.10943116,0,.10943116
.70785588,1.1803124,0,1.1803124
1.7868657,-.39263165,1,1.7868657
1.8994528,1.5214446,0,1.5214446
1.8490524,.4868181,1,1.8490524
1.6713483,-1.319851,1,1.6713483
3.0084429,-.98665947,1,3.0084429
1.6567551,2.6455019,0,2.6455019
2.1231725,1.1483381,0,1.1483381
1.2256627,1.4510729,0,1.4510729
.79067063,.75656039,0,.75656039
1.4273213,.25439182,0,.25439182
1.2385077,-.2668691,0,-.2668691
4.5039744,-.44644192,1,4.5039744
1.6755134,.10038292,0,.10038292
1.8717597,.42862052,1,1.8717597
.54208922,-.61179185,0,-.61179185
2.2116942,.34916961,0,.34916961
1.7052498,.79045862,0,.79045862
2.3494413,-.47632647,1,2.3494413
1.1497866,-.56326669,0,-.56326669
4.3956823,1.1593423,0,1.1593423
